"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1463.16/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0xec61ef9440685207a468cddb94bbbbe10a477ec80077523497ed29f4c57bc0f2","63163676","1673273295","2023-01-09 14:08:15","0x56eac0baf81dcab4b302c8008ec95b466f0664af","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000201305136654784","0.294541623747814","1320.11","","","Mint To Multiple AL",""
"0xfffac49cb0aef348f36a766b76ca4ef0a43d3c58ecc2a7d069e6fdd7015a9d9a","63163918","1673273310","2023-01-09 14:08:30","0x1d1ec8969bd49833b6512483a75c62fa98621e8b","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000201830606299328","0.295310469912925","1320.11","","","Mint To Multiple AL",""
"0xf2b1377b4107df9d9f3a1af250ee3053cc55ffb0aea396cae6b074a986349d84","63164130","1673273340","2023-01-09 14:09:00","0xbbe6b6050dc3457af4fc0c422f1cd42993d2a767","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000201502217271488","0.29482998422295","1320.11","","","Mint To Multiple AL",""
"0xe0d50ad23d5e5af03736fcb9040c1efc9c07ef8e4712686c10ebcec96342c94d","63165631","1673273475","2023-01-09 14:11:15","0xef50fee0c8861f3a022ee7a1f61bb11b6c5a1fd8","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000201567871477056","0.294926046830369","1320.11","","","Mint To Multiple AL",""
"0x30ccb4b17bbdf198fc5c0f1bc8c822a81494f42ec9f0f852e7ea59db95499129","63166321","1673273550","2023-01-09 14:12:30","0x646785852122c618cb2bb1a0aada44f1795d5a4c","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000224723513148992","0.328806455499079","1320.11","","","Mint To Multiple AL",""
"0x18f92cccd279ca98441170e2b34581e4cccbc5891d96809aa52d385d195dd34a","63166812","1673273610","2023-01-09 14:13:30","0x6bb275953d6297261386a8eac44db37e8f278ebf","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000225089125797672","0.329341405302122","1320.11","","","Mint To Multiple AL",""
"0x4d0f2d2f19ad70aaa51ca7855eb3ac0029c8eceadf72387ca616f13567787f9a","63167522","1673273700","2023-01-09 14:15:00","0xc529f8b3ba2b9ffc16c00f108780e91e752d8567","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000224796668078728","0.328913492866072","1320.11","","","Mint To Multiple AL",""
"0x58e105f77410413d9175353510e257856fda814c61a778427ecf11afc4f19394","63168051","1673273760","2023-01-09 14:16:00","0x4581b0c0d0d6db8bf970e93d6baa004f0254d6fb","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000202179958253608","0.295821627718349","1320.11","","","Mint To Multiple AL",""
"0xbcb6793fc7a686de11f9e903c2c81eb8bec38c2c2e91667f61634a5ab0cab3a7","63168842","1673273865","2023-01-09 14:17:45","0xd0886275a97757676f051b29d3b636badcb1acb5","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000202377251638496","0.296110299507382","1320.11","","","Mint To Multiple AL",""
"0xb28db69a485569a900ec49398b7a43dd6338bc6b425ad8e787f7a502c91d62b3","63169588","1673273940","2023-01-09 14:19:00","0x266819e6c2bc359eef9f2f850e3701f56a16e8f7","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000202179958253608","0.295821627718349","1320.11","","","Mint To Multiple AL",""
